State,delta.tested,delta.vaccinated1,delta.vaccinated2,delta21_14.confirmed,delta7.confirmed,delta7.recovered,delta7.tested,delta7.vaccinated1,delta7.vaccinated2,meta.date,meta.population,meta.tested.date,meta.vaccinated.date,total.confirmed,total.deceased,total.recovered,total.tested,total.vaccinated1,total.vaccinated2,delta.confirmed,delta.deceased,delta.recovered,delta7.deceased,total.other,delta7.other,delta21_14,delta.other
AN,1376,3,13,9,3,5,8936,884,10640,31-10-2021,397000,31-10-2021,31-10-2021,7651,129,7518,598033,294001,200157,0,0,0,0,0,0,0,0
AP,39848,20497,24137,3220,2873,3590,254532,1223010,1887005,31-10-2021,52221000,31-10-2021,31-10-2021,2066450,14373,2047722,29518787,32976969,20375181,385,4,675,30,0,0,0,0
AR,334,42,195,87,66,97,4788,3312,23647,31-10-2021,1504000,31-10-2021,31-10-2021,55155,280,54774,1185436,771875,534486,1,0,9,0,0,0,0,0
AS,15060,19124,37463,1499,2056,2215,269097,274869,849889,31-10-2021,34293000,31-10-2021,31-10-2021,610645,5997,600974,24712042,20172463,8068795,212,1,236,24,1347,0,0,0
BR,226443,114694,145827,30,40,31,1378539,1286708,2144970,31-10-2021,119520000,31-10-2021,31-10-2021,726098,9661,716390,50531824,49874828,18346781,8,0,9,0,1,0,0,0
CH,1403,211,1282,23,28,20,10726,3680,21641,31-10-2021,1179000,31-10-2021,31-10-2021,65351,820,64495,792851,926035,546981,5,0,3,0,0,0,0,0
CT,11869,21312,39393,124,205,103,147451,379374,604260,31-10-2021,28724000,31-10-2021,31-10-2021,1006052,13577,992159,13709510,14851682,7343273,32,1,32,5,0,0,0,0
DL,56751,12482,11839,195,267,239,395086,160323,269146,31-10-2021,19814000,31-10-2021,31-10-2021,1439870,25091,1414431,29427753,13055636,7425404,45,0,46,0,0,0,0,0
DN,0,3,20,4,0,2,0,2802,14244,31-10-2021,959000,20-10-2020,31-10-2021,10681,4,10644,72410,660753,370255,0,0,1,0,31,0,0,0
GA,2361,2572,12404,409,222,409,19026,8418,46494,31-10-2021,1540000,31-10-2021,31-10-2021,178108,3364,174392,1468399,1262568,911114,23,0,53,6,0,0,0,0
GJ,34282,14685,62096,149,159,116,328489,335172,1660382,31-10-2021,67936000,31-10-2021,31-10-2021,826577,10089,816283,30928063,44735217,25972387,20,0,23,2,0,0,0,0
HP,3613,371,8192,958,1537,1154,64352,13244,234011,31-10-2021,7300000,31-10-2021,31-10-2021,224106,3738,218410,3685011,5713695,3443823,85,1,198,20,16,-1,0,0
HR,20588,7867,15801,83,95,87,148110,160777,368141,31-10-2021,28672000,31-10-2021,31-10-2021,771252,10049,761068,13032504,17772376,8115463,11,0,10,0,0,0,0,0
JH,31238,41034,51488,78,137,250,464579,299587,428313,31-10-2021,37403000,31-10-2021,31-10-2021,348764,5138,343518,15985878,14986646,5585648,10,0,8,3,0,0,0,0
JK,38915,1584,45202,529,611,572,254608,33383,414843,31-10-2021,13203000,31-10-2021,31-10-2021,332249,4432,326915,16202346,9511073,5149471,95,0,79,3,0,0,0,0
KA,106939,17604,28163,2432,2347,2339,724215,623591,1373861,31-10-2021,65798000,31-10-2021,31-10-2021,2988333,38082,2941578,50873103,42497761,22858384,292,11,345,75,29,0,0,0
