,state_code,date,confirmed,recovered,deceased,tested,vaccinated
0,AN,2020-03-26,1,0,0,0,0
1,AN,2020-03-27,6,0,0,0,0
2,AN,2020-03-28,9,0,0,0,0
3,AN,2020-03-29,9,0,0,0,0
4,AN,2020-03-30,10,0,0,0,0
5,AN,2020-03-31,10,0,0,0,0
6,AN,2020-01-04,10,0,0,0,0
7,AN,2020-02-04,10,0,0,0,0
8,AN,2020-03-04,10,0,0,0,0
9,AN,2020-04-04,10,0,0,0,0
10,AN,2020-05-04,10,0,0,0,0
11,AN,2020-06-04,10,0,0,0,0
12,AN,2020-07-04,10,0,0,0,0
13,AN,2020-08-04,11,0,0,0,0
14,AN,2020-09-04,11,10,0,0,0
15,AN,2020-10-04,11,10,0,0,0
16,AN,2020-11-04,11,10,0,0,0
17,AN,2020-12-04,11,10,0,0,0
18,AN,2020-04-13,11,10,0,0,0
19,AN,2020-04-14,11,10,0,0,0
20,AN,2020-04-15,11,10,0,0,0
21,AN,2020-04-16,11,11,0,0,0
22,AN,2020-04-17,12,11,0,1403,0
23,AN,2020-04-18,14,11,0,1403,0
24,AN,2020-04-19,15,11,0,1403,0
25,AN,2020-04-20,16,11,0,1403,0
26,AN,2020-04-21,17,11,0,1403,0
27,AN,2020-04-22,18,11,0,1403,0
28,AN,2020-04-23,22,11,0,1403,0
29,AN,2020-04-24,29,11,0,2679,0
30,AN,2020-04-25,33,11,0,2679,0
31,AN,2020-04-26,33,11,0,2679,0
32,AN,2020-04-27,33,11,0,2848,0
33,AN,2020-04-28,33,15,0,2848,0
34,AN,2020-04-29,33,15,0,2848,0
35,AN,2020-04-30,33,16,0,2848,0
36,AN,2020-01-05,33,16,0,3754,0
37,AN,2020-02-05,33,26,0,3754,0
38,AN,2020-03-05,33,32,0,3754,0
39,AN,2020-04-05,33,32,0,3754,0
40,AN,2020-05-05,33,32,0,3754,0
41,AN,2020-06-05,33,32,0,3754,0
42,AN,2020-07-05,33,33,0,3754,0
43,AN,2020-08-05,33,33,0,3754,0
44,AN,2020-09-05,33,33,0,3754,0
45,AN,2020-10-05,33,33,0,3754,0
46,AN,2020-11-05,33,33,0,3754,0
47,AN,2020-12-05,33,33,0,3754,0
48,AN,2020-05-13,33,33,0,3754,0
49,AN,2020-05-14,33,33,0,3754,0
50,AN,2020-05-15,33,33,0,3754,0
51,AN,2020-05-16,33,33,0,6677,0
52,AN,2020-05-17,33,33,0,6677,0
53,AN,2020-05-18,33,33,0,6677,0
54,AN,2020-05-19,33,33,0,6965,0
55,AN,2020-05-20,33,33,0,7082,0
56,AN,2020-05-21,33,33,0,7167,0
57,AN,2020-05-22,33,33,0,7263,0
58,AN,2020-05-23,33,33,0,7327,0
59,AN,2020-05-24,33,33,0,7327,0
60,AN,2020-05-25,33,33,0,7363,0
61,AN,2020-05-26,33,33,0,7448,0
62,AN,2020-05-27,33,33,0,7499,0
63,AN,2020-05-28,33,33,0,7519,0
64,AN,2020-05-29,33,33,0,7567,0
65,AN,2020-05-30,33,33,0,7567,0
66,AN,2020-05-31,33,33,0,7706,0
67,AN,2020-01-06,33,33,0,7805,0
68,AN,2020-02-06,33,33,0,8086,0
69,AN,2020-03-06,33,33,0,8295,0
70,AN,2020-04-06,33,33,0,8413,0
71,AN,2020-05-06,33,33,0,8694,0
72,AN,2020-06-06,33,33,0,9037,0
73,AN,2020-07-06,33,33,0,9242,0
74,AN,2020-08-06,33,33,0,9341,0
75,AN,2020-09-06,34,33,0,9859,0
76,AN,2020-10-06,35,33,0,10010,0
77,AN,2020-11-06,38,33,0,10226,0
78,AN,2020-12-06,38,33,0,10697,0
79,AN,2020-06-13,38,33,0,10955,0
80,AN,2020-06-14,40,33,0,11356,0
81,AN,2020-06-15,41,33,0,11518,0
82,AN,2020-06-16,44,33,0,11809,0
83,AN,2020-06-17,44,33,0,12239,0
84,AN,2020-06-18,45,35,0,12622,0
85,AN,2020-06-19,47,35,0,12930,0
86,AN,2020-06-20,47,35,0,13320,0
87,AN,2020-06-21,48,37,0,13434,0
88,AN,2020-06-22,48,37,0,13511,0
89,AN,2020-06-23,50,40,0,13723,0
90,AN,2020-06-24,56,41,0,13994,0
91,AN,2020-06-25,58,41,0,14277,0
