state_code,district_code,district_name,confirmed_cases,deceased_cases,recovered_cases,active_cases,population,delta_confirmed,delta_deceased,delta_recovered,delta_confirmed_7,delta_deceased_7,delta_recovered_7
AN,Nicobars,,0,0,0,0,36842,0,0,0,0,0,0
AN,North and Middle Andaman,,0,0,0,0,105597,0,0,0,0,0,0
AN,South Andaman,,0,0,0,0,238142,0,0,0,0,0,0
AN,Unknown,,7651,129,7518,4,0,0,0,0,3,0,5
AP,Anantapur,,157843,1093,156699,51,4083315,4,0,5,38,0,58
AP,Chittoor,,246935,1947,244144,844,4170468,64,1,87,516,6,629
AP,East Godavari,,293836,1290,291610,936,5151549,87,0,121,604,0,520
AP,Foreign Evacuees,,434,0,434,0,0,0,0,0,0,0,0
AP,Guntur,,178068,1237,176629,202,4889230,33,0,198,272,4,619
AP,Krishna,,119348,1430,117130,788,4529009,46,1,71,422,9,467
AP,Kurnool,,124142,853,123264,25,4046601,6,0,3,25,0,26
AP,Other State,,2461,0,2461,0,0,0,0,0,0,0,0
AP,Prakasam,,138482,1124,136989,369,3392764,6,0,37,103,3,290
AP,S.P.S. Nellore,,146388,1053,144919,416,2966082,34,1,23,155,2,235
AP,Srikakulam,,123109,786,122136,187,2699471,19,0,20,132,0,72
AP,Visakhapatnam,,157737,1127,156492,118,4288113,27,0,30,237,1,227
AP,Vizianagaram,,82967,672,82231,64,2342868,7,1,11,53,1,38
AP,West Godavari,,179077,1117,177680,280,3934782,40,0,44,234,4,246
AP,Y.S.R. Kadapa,,115623,644,114904,75,2884524,12,0,25,82,0,163
AR,Anjaw,,1068,3,1065,0,21089,0,0,0,0,0,0
AR,Capital Complex,,0,0,0,0,0,0,0,0,0,0,0
AR,Changlang,,3807,22,3780,5,147951,0,0,1,3,0,3
AR,East Kameng,,1094,0,1094,0,78413,0,0,0,0,0,0
AR,East Siang,,3206,17,3183,6,99019,0,0,5,9,0,10
AR,Kamle,,512,0,512,0,22256,0,0,0,0,0,0
AR,Kra Daadi,,270,0,270,0,0,0,0,0,0,0,0
AR,Kurung Kumey,,511,1,510,0,89717,0,0,0,0,0,0
AR,Lepa Rada,,874,3,871,0,0,0,0,0,0,0,1
AR,Lohit,,2885,26,2851,8,145538,0,0,0,9,0,3
AR,Longding,,752,2,749,1,60000,0,0,0,1,0,0
AR,Lower Dibang Valley,,2426,11,2397,18,53986,0,0,0,14,0,3
AR,Lower Siang,,738,8,730,0,80597,0,0,0,0,0,0
AR,Lower Subansiri,,3036,15,3015,6,82839,0,0,0,5,0,2
AR,Namsai,,2124,17,2102,5,95950,0,0,0,4,0,16
AR,Pakke Kessang,,453,0,453,0,0,0,0,0,0,0,0
AR,Papum Pare,,18316,98,18212,6,176385,1,0,1,7,0,12
AR,Shi Yomi,,262,0,261,1,13310,0,0,0,1,0,10
AR,Siang,,411,3,408,0,31920,0,0,0,0,0,0
AR,Tawang,,2577,20,2533,24,49950,0,0,0,12,0,8
AR,Tirap,,1109,5,1102,2,111997,0,0,0,0,0,2
AR,Upper Dibang Valley,,337,2,335,0,7948,0,0,0,0,0,1
AR,Upper Siang,,1016,1,1015,0,35289,0,0,0,0,0,2
AR,Upper Subansiri,,1958,6,1952,0,83205,0,0,0,0,0,0
AR,West Kameng,,3545,14,3518,13,87013,0,0,7,1,0,21
AR,West Siang,,1868,6,1856,6,112272,0,0,-5,0,0,3
AS,Baksa,,0,0,0,0,953773,0,0,0,0,0,0
AS,Barpeta,,0,0,0,0,1693190,0,0,0,0,0,0
AS,Biswanath,,0,0,0,0,612491,0,0,0,0,0,0
AS,Bongaigaon,,0,0,0,0,732639,0,0,0,0,0,0
AS,Cachar,,0,0,0,0,1736319,0,0,0,0,0,0
AS,Charaideo,,0,0,0,0,0,0,0,0,0,0,0
AS,Chirang,,0,0,0,0,481818,0,0,0,0,0,0
AS,Darrang,,0,0,0,0,908090,0,0,0,0,0,0
AS,Dhemaji,,0,0,0,0,688077,0,0,0,0,0,0
AS,Dhubri,,0,0,0,0,1948632,0,0,0,0,0,0
AS,Dibrugarh,,0,0,0,0,1327748,0,0,0,0,0,0
AS,Dima Hasao,,0,0,0,0,213529,0,0,0,0,0,0
AS,Goalpara,,0,0,0,0,1008959,0,0,0,0,0,0
AS,Golaghat,,0,0,0,0,1058674,0,0,0,0,0,0
